season,date,team1,team2,points1,points2,ot,loc,locn,text,division
1999,1999x11x20,UC Davis,Central Okla.,33,17,,1,,D2 R16,D2
1999,1999x11x20,Northeastern St.,Western Wash.,27,24,OT,1,,D2 R16,D2
1999,1999x11x20,Indiana (PA),Slippery Rock,27,20,OT,2,,D2 R16,D2
1999,1999x11x20,Millersville,Shepherd,21,14,,1,,D2 R16,D2
1999,1999x11x20,Northern Colo.,Pittsburg St.,34,31,,1,,D2 R16,D2
1999,1999x11x20,NW Missouri St.,North Dakota,20,13,OT,1,,D2 R16,D2
1999,1999x11x27,Carson-Newman,Catawba,28,25,,1,,D2 QF,D2
1999,1999x11x27,Northeastern St.,UC Davis,19,14,,2,,D2 QF,D2
1999,1999x11x27,Indiana (PA),Millersville,26,21,,2,,D2 QF,D2
1999,1999x11x27,NW Missouri St.,Northern Colo.,41,35,,2,,D2 QF,D2
1999,1999x12x04,Carson-Newman,Northeastern St.,42,7,,1,,D2 Semi,D2
1999,1999x12x04,NW Missouri St.,Indiana (PA),20,12,,1,,D2 Semi,D2
1999,1999x12x11,NW Missouri St.,Carson-Newman,58,52,4OT,3,Florence AL,D2 Champ,D2
1999,1999x11x20,Augustana (IL),St. Norbert,39,32,,99,,D3 R28,D3
1999,1999x11x20,Ohio Northern,Hanover,56,14,,99,,D3 R28,D3
1999,1999x11x20,Wittenberg,Alma,42,19,,99,,D3 R28,D3
1999,1999x11x20,Montclair St.,Buffalo St.,37,34,,99,,D3 R28,D3
1999,1999x11x20,Rowan,Rensselaer,29,10,,99,,D3 R28,D3
1999,1999x11x20,Ursinus,Bridgewater St.,43,38,,99,,D3 R28,D3
1999,1999x11x20,Pacific Lutheran,Willamette,28,24,,99,,D3 R28,D3
1999,1999x11x20,Central (IA),UW LaCrosse,38,17,,99,,D3 R28,D3
1999,1999x11x20,St. John's (MN),UW Stevens Point,23,10,,99,,D3 R28,D3
1999,1999x11x20,McDaniel,Catholic,20,16,,99,,D3 R28,D3
1999,1999x11x20,Hardin Simmons,Washington (MO),28,21,,99,,D3 R28,D3
1999,1999x11x20,Wash. & Jeff.,Lycoming,14,7,,99,,D3 R28,D3
1999,1999x11x27,Mount Union,Augustana (IL),42,33,,99,,D3 R16,D3
1999,1999x11x27,Ohio Northern,Wittenberg,58,24,,99,,D3 R16,D3
1999,1999x11x27,Montclair St.,Western Conn.,32,24,,99,,D3 R16,D3
1999,1999x11x27,Rowan,Ursinus,55,0,,99,,D3 R16,D3
1999,1999x11x27,Pacific Lutheran,Wartburg,49,14,,99,,D3 R16,D3
1999,1999x11x27,St. John's (MN),Central (IA),10,9,,99,,D3 R16,D3
1999,1999x11x27,Trinity (TX),McDaniel,20,16,,99,,D3 R16,D3
1999,1999x11x27,Hardin Simmons,Wash. & Jeff.,51,3,,99,,D3 R16,D3
1999,1999x12x04,Mount Union,Ohio Northern,56,31,,99,,D3 QF,D3
1999,1999x12x04,Rowan,Montclair St.,42,13,,99,,D3 QF,D3
1999,1999x12x04,Pacific Lutheran,St. John's (MN),19,9,,99,,D3 QF,D3
1999,1999x12x04,Trinity (TX),Hardin Simmons,40,33,,99,,D3 QF,D3
1999,1999x12x11,Rowan,Mount Union,24,17,OT,99,,D3 Semi,D3
1999,1999x12x11,Pacific Lutheran,Trinity (TX),49,28,,99,,D3 Semi,D3
1999,1999x12x18,Pacific Lutheran,Rowan,42,13,,3,Salem VA,D3 Champ,D3
1999,1999x11x27,NC A&T,Tennessee St.,24,10,,2,,FCS R16,FCS
1999,1999x11x27,Youngstown St.,Montana,30,27,,2,,FCS R16,FCS
1999,1999x11x27,Troy,James Madison,27,7,,1,,FCS R16,FCS
1999,1999x11x27,Florida A&M,Appalachian St.,44,29,,2,,FCS R16,FCS
1999,1999x11x27,Hofstra,Lehigh,27,15,,1,,FCS R16,FCS
1999,1999x11x27,Illinois St.,Colgate,56,13,,1,,FCS R16,FCS
1999,1999x11x27,Massachusetts,Furman,30,23,OT,2,,FCS R16,FCS
1999,1999x11x27,Ga. Southern,Northern Ariz.,72,29,,1,,FCS R16,FCS
1999,1999x12x04,Youngstown St.,NC A&T,41,3,,1,,FCS QF,FCS
1999,1999x12x04,Illinois St.,Hofstra,37,20,,2,,FCS QF,FCS
1999,1999x12x04,Florida A&M,Troy,17,10,,2,,FCS QF,FCS
1999,1999x12x04,Ga. Southern,Massachusetts,38,21,,1,,FCS QF,FCS
1999,1999x12x11,Youngstown St.,Florida A&M,27,24,,1,,FCS Semi,FCS
1999,1999x12x11,Ga. Southern,Illinois St.,28,17,,1,,FCS Semi,FCS
1999,1999x12x18,Ga. Southern,Youngstown St.,59,24,,3,Chattanooga,FCS Champ,FCS
2000,2000x11x18,North Dakota St.,NW Missouri St.,31,17,,2,,D2 R16,D2
2000,2000x11x18,Omaha,Pittsburg St.,14,3,,1,,D2 R16,D2
2000,2000x11x18,Catawba,West Georgia,28,24,,1,,D2 R16,D2
2000,2000x11x18,Delta St.,Valdosta St.,49,12,,1,,D2 R16,D2
2000,2000x11x18,Northwood,Indiana (PA),28,0,,1,,D2 R16,D2
2000,2000x11x18,Bloomsburg,Saginaw Valley St.,46,32,,1,,D2 R16,D2
2000,2000x11x18,UC Davis,Chadron St.,48,10,,1,,D2 R16,D2
2000,2000x11x18,Colorado Mesa,Northeastern St.,40,21,,2,,D2 R16,D2
2000,2000x11x25,North Dakota St.,Omaha,43,21,,2,,D2 QF,D2
2000,2000x11x25,Delta St.,Catawba,20,14,,2,,D2 QF,D2
2000,2000x11x25,Bloomsburg,Northwood,38,14,,1,,D2 QF,D2
2000,2000x11x25,UC Davis,Colorado Mesa,62,18,,1,,D2 QF,D2
2000,2000x12x02,Delta St.,North Dakota St.,34,16,,1,,D2 Semi,D2
2000,2000x12x02,Bloomsburg,UC Davis,58,48,,2,,D2 Semi,D2
2000,2000x12x09,Delta St.,Bloomsburg,63,34,,3,Florence AL,D2 Champ,D2
2000,2000x11x18,Ohio Northern,Millikin,47,21,,99,,D3 R28,D3
2000,2000x11x18,Hanover,Hope,20,3,,99,,D3 R28,D3
2000,2000x11x18,Wittenberg,Aurora,31,20,,99,,D3 R28,D3
2000,2000x11x18,Springfield,Montclair St.,31,29,,99,,D3 R28,D3
2000,2000x11x18,Widener,Union (NY),33,26,,99,,D3 R28,D3
2000,2000x11x18,Hobart,Bridgewater St.,25,0,,99,,D3 R28,D3
2000,2000x11x18,Central (IA),St. Norbert,28,14,,99,,D3 R28,D3
2000,2000x11x18,Pacific Lutheran,Bethel (MN),41,13,,99,,D3 R28,D3
2000,2000x11x18,St. John's (MN),UW Stout,26,19,,99,,D3 R28,D3
2000,2000x11x18,McDaniel,Emory & Henry,38,14,,99,,D3 R28,D3
2000,2000x11x18,Trinity (TX),Wesley,21,3,,99,,D3 R28,D3
2000,2000x11x18,Bridgewater,Wash. & Jeff.,59,42,,99,,D3 R28,D3
2000,2000x11x25,Mount Union,Ohio Northern,59,28,,99,,D3 R16,D3
2000,2000x11x25,Wittenberg,Hanover,32,21,,99,,D3 R16,D3
2000,2000x11x25,Springfield,Brockport,13,6,,99,,D3 R16,D3
2000,2000x11x25,Widener,Hobart,40,14,,99,,D3 R16,D3
2000,2000x11x25,Central (IA),Linfield,20,17,OT,99,,D3 R16,D3
2000,2000x11x25,St. John's (MN),Pacific Lutheran,28,21,OT,99,,D3 R16,D3
2000,2000x11x25,Hardin Simmons,McDaniel,32,10,,99,,D3 R16,D3
2000,2000x11x25,Trinity (TX),Bridgewater,47,41,OT,99,,D3 R16,D3
2000,2000x12x02,Mount Union,Wittenberg,32,15,,99,,D3 QF,D3
2000,2000x12x02,Widener,Springfield,61,27,,99,,D3 QF,D3
2000,2000x12x02,St. John's (MN),Central (IA),21,18,,99,,D3 QF,D3
2000,2000x12x02,Hardin Simmons,Trinity (TX),33,30,,99,,D3 QF,D3
2000,2000x12x09,Mount Union,Widener,70,30,,99,,D3 Semi,D3
2000,2000x12x09,St. John's (MN),Hardin Simmons,38,14,,99,,D3 Semi,D3
2000,2000x12x16,Mount Union,St. John's (MN),10,7,,3,Salem VA,D3 Champ,D3
2000,2000x11x25,Montana,Eastern Ill.,45,13,,1,,FCS R16,FCS
2000,2000x11x25,Richmond,Youngstown St.,10,3,,1,,FCS R16,FCS
2000,2000x11x25,Western Ky.,Florida A&M,27,0,,1,,FCS R16,FCS
2000,2000x11x25,Appalachian St.,Troy,33,30,,2,,FCS R16,FCS
2000,2000x11x25,Ga. Southern,McNeese,42,17,,1,,FCS R16,FCS
2000,2000x11x25,Hofstra,Furman,31,24,,2,,FCS R16,FCS
2000,2000x11x25,Lehigh,Western Ill.,37,7,,2,,FCS R16,FCS
2000,2000x11x25,Delaware,Portland St.,49,14,,1,,FCS R16,FCS
2000,2000x12x02,Montana,Richmond,34,20,,1,,FCS QF,FCS
2000,2000x12x02,Appalachian St.,Western Ky.,17,14,,2,,FCS QF,FCS
2000,2000x12x02,Ga. Southern,Hofstra,48,20,,1,,FCS QF,FCS
2000,2000x12x02,Delaware,Lehigh,47,22,,1,,FCS QF,FCS
2000,2000x12x09,Montana,Appalachian St.,19,16,OT,1,,FCS Semi,FCS
2000,2000x12x09,Ga. Southern,Delaware,27,18,,2,,FCS Semi,FCS
2000,2000x12x16,Ga. Southern,Montana,27,25,,3,Chattanooga,FCS Champ,FCS
2001,2001x11x17,North Dakota,Winona St.,42,28,,1,,D2 R16,D2
2001,2001x11x17,Pittsburg St.,Omaha,20,7,,1,,D2 R16,D2
2001,2001x11x17,Tarleton,Chadron St.,28,24,,2,,D2 R16,D2
2001,2001x11x17,UC Davis,TAMU Kingsville,37,32,,2,,D2 R16,D2
2001,2001x11x17,Valdosta St.,Fort Valley St.,40,24,,1,,D2 R16,D2
2001,2001x11x17,Catawba,Central Ark.,35,34,,1,,D2 R16,D2
2001,2001x11x17,Grand Valley St.,Bloomsburg,42,14,,1,,D2 R16,D2
2001,2001x11x17,Saginaw Valley St.,Indiana (PA),33,32,,1,,D2 R16,D2
2001,2001x11x24,North Dakota,Pittsburg St.,38,0,,1,,D2 QF,D2
2001,2001x11x24,UC Davis,Tarleton,42,25,,1,,D2 QF,D2
2001,2001x11x24,Catawba,Valdosta St.,37,34,OT,2,,D2 QF,D2
2001,2001x11x24,Grand Valley St.,Saginaw Valley St.,33,30,,1,,D2 QF,D2
2001,2001x12x01,North Dakota,UC Davis,14,2,,1,,D2 Semi,D2
2001,2001x12x01,Grand Valley St.,Catawba,34,16,,1,,D2 Semi,D2
2001,2001x12x08,North Dakota,Grand Valley St.,17,14,,3,Florence AL,D2 Champ,D2
2001,2001x11x17,Augustana (IL),Defiance,54,14,,99,,D3 R28,D3
2001,2001x11x17,Wittenberg,Hardin Simmons,38,35,OT,99,,D3 R28,D3
2001,2001x11x17,Thomas More,MacMurray,34,30,,99,,D3 R28,D3
2001,2001x11x17,Pacific Lutheran,Whitworth,27,26,OT,99,,D3 R28,D3
2001,2001x11x17,UW Stevens Point,Bethel (MN),37,27,,99,,D3 R28,D3
2001,2001x11x17,St. John's (MN),St. Norbert,27,20,,99,,D3 R28,D3
2001,2001x11x17,Ithaca,Montclair St.,35,23,,99,,D3 R28,D3
2001,2001x11x17,Rowan,Brockport,40,17,,99,,D3 R28,D3
2001,2001x11x17,Western Conn.,Westfield St.,8,7,,99,,D3 R28,D3
2001,2001x11x17,Trinity (TX),Mary Hardin-Baylor,30,6,,99,,D3 R28,D3
2001,2001x11x17,Wash. & Jeff.,McDaniel,24,21,,99,,D3 R28,D3
2001,2001x11x17,Widener,Chris. Newport,56,7,,99,,D3 R28,D3
2001,2001x11x24,Mount Union,Augustana (IL),32,7,,99,,D3 R16,D3
2001,2001x11x24,Wittenberg,Thomas More,41,0,,99,,D3 R16,D3
2001,2001x11x24,Pacific Lutheran,Central (IA),27,21,OT,99,,D3 R16,D3
2001,2001x11x24,St. John's (MN),UW Stevens Point,9,7,,99,,D3 R16,D3
2001,2001x11x24,Ithaca,Rensselaer,27,10,,99,,D3 R16,D3
2001,2001x11x24,Rowan,Western Conn.,43,14,,99,,D3 R16,D3
2001,2001x11x24,Bridgewater,Trinity (TX),41,37,,99,,D3 R16,D3
2001,2001x11x24,Widener,Wash. & Jeff.,46,30,,99,,D3 R16,D3
2001,2001x12x01,Mount Union,Wittenberg,49,21,,99,,D3 QF,D3
2001,2001x12x01,St. John's (MN),Pacific Lutheran,31,6,,99,,D3 QF,D3
2001,2001x12x01,Rowan,Ithaca,48,0,,99,,D3 QF,D3
2001,2001x12x01,Bridgewater,Widener,57,32,,99,,D3 QF,D3
2001,2001x12x08,Mount Union,St. John's (MN),35,14,,99,,D3 Semi,D3
2001,2001x12x08,Bridgewater,Rowan,29,24,,99,,D3 Semi,D3
2001,2001x12x15,Mount Union,Bridgewater,30,27,,3,Salem VA,D3 Champ,D3
2001,2001x12x01,Montana,Northwestern St.,28,19,,1,,FCS R16,FCS
2001,2001x12x01,Sam Houston,Northern Ariz.,34,31,,1,,FCS R16,FCS
2001,2001x12x01,Maine,McNeese,14,10,,2,,FCS R16,FCS
2001,2001x12x01,Northern Iowa,Eastern Ill.,49,43,,2,,FCS R16,FCS
2001,2001x12x01,Ga. Southern,Florida A&M,60,35,,1,,FCS R16,FCS
2001,2001x12x01,Appalachian St.,William & Mary,40,27,,1,,FCS R16,FCS
2001,2001x12x01,Lehigh,Hofstra,27,24,OT,1,,FCS R16,FCS
2001,2001x12x01,Furman,Western Ky.,24,20,,1,,FCS R16,FCS
2001,2001x12x08,Montana,Sam Houston,49,24,,1,,FCS QF,FCS
2001,2001x12x08,Northern Iowa,Maine,56,28,,1,,FCS QF,FCS
2001,2001x12x08,Ga. Southern,Appalachian St.,38,24,,1,,FCS QF,FCS
2001,2001x12x08,Furman,Lehigh,34,17,,1,,FCS QF,FCS
2001,2001x12x15,Montana,Northern Iowa,38,0,,1,,FCS Semi,FCS
2001,2001x12x15,Furman,Ga. Southern,24,17,,2,,FCS Semi,FCS
2001,2001x12x21,Montana,Furman,13,6,,3,Chattanooga,FCS Champ,FCS
2002,2002x11x23,Valdosta St.,Catawba,24,7,,1,,D2 R16,D2
2002,2002x11x23,Carson-Newman,Fayetteville St.,40,27,,1,,D2 R16,D2
2002,2002x11x23,UC Davis,Central Wash.,24,6,,2,,D2 R16,D2
2002,2002x11x23,TAMU Kingsville,Neb. Kearney,58,40,,2,,D2 R16,D2
2002,2002x11x23,Grand Valley St.,CW Post,62,13,,1,,D2 R16,D2
2002,2002x11x23,Indiana (PA),Saginaw Valley St.,27,23,,1,,D2 R16,D2
2002,2002x11x23,NW Missouri St.,Minn. Duluth,45,41,,1,,D2 R16,D2
2002,2002x11x23,Northern Colo.,Central Mo.,49,28,,1,,D2 R16,D2
2002,2002x11x30,Valdosta St.,Carson-Newman,31,28,,1,,D2 QF,D2
2002,2002x11x30,TAMU Kingsville,UC Davis,27,20,OT,1,,D2 QF,D2
2002,2002x11x30,Grand Valley St.,Indiana (PA),62,21,,1,,D2 QF,D2
2002,2002x11x30,Northern Colo.,NW Missouri St.,23,12,,2,,D2 QF,D2
2002,2002x12x07,Valdosta St.,TAMU Kingsville,21,12,,1,,D2 Semi,D2
2002,2002x12x07,Grand Valley St.,Northern Colo.,44,7,,1,,D2 Semi,D2
2002,2002x12x14,Grand Valley St.,Valdosta St.,31,24,,3,Florence AL,D2 Champ,D2
2002,2002x11x23,Wheaton,Alma,42,14,,99,,D3 R28,D3
2002,2002x11x23,Wittenberg,Hanover,34,33,,99,,D3 R28,D3
2002,2002x11x23,Wabash,MacMurray,42,7,,99,,D3 R28,D3
2002,2002x11x23,Brockport,Springfield,16,0,,99,,D3 R28,D3
2002,2002x11x23,John Carroll,Hobart,27,7,,99,,D3 R28,D3
2002,2002x11x23,Muhlenberg,Mass. Dartmouth,56,6,,99,,D3 R28,D3
2002,2002x11x23,Wartburg,Lake Forest,45,0,,99,,D3 R28,D3
2002,2002x11x23,Coe,UW LaCrosse,21,18,,99,,D3 R28,D3
2002,2002x11x23,St. John's (MN),Redlands,31,24,,99,,D3 R28,D3
2002,2002x11x23,King's (PA),Salisbury St.,28,0,,99,,D3 R28,D3
2002,2002x11x23,Wash. & Jeff.,Chris. Newport,24,10,,99,,D3 R28,D3
2002,2002x11x23,Trinity (TX),Mary Hardin-Baylor,48,38,,99,,D3 R28,D3
2002,2002x11x30,Mount Union,Wheaton,42,21,,99,,D3 R16,D3
2002,2002x11x30,Wabash,Wittenberg,25,14,,99,,D3 R16,D3
2002,2002x11x30,Brockport,Rowan,15,12,,99,,D3 R16,D3
2002,2002x11x30,John Carroll,Muhlenberg,21,10,,99,,D3 R16,D3
2002,2002x11x30,Linfield,Wartburg,52,15,,99,,D3 R16,D3
2002,2002x11x30,St. John's (MN),Coe,45,14,,99,,D3 R16,D3
2002,2002x11x30,Bridgewater,King's (PA),19,17,,99,,D3 R16,D3
2002,2002x11x30,Trinity (TX),Wash. & Jeff.,45,10,,99,,D3 R16,D3
2002,2002x12x07,Mount Union,Wabash,45,16,,99,,D3 QF,D3
2002,2002x12x07,John Carroll,Brockport,16,10,OT,99,,D3 QF,D3
2002,2002x12x07,St. John's (MN),Linfield,21,14,,99,,D3 QF,D3
2002,2002x12x07,Trinity (TX),Bridgewater,38,32,,99,,D3 QF,D3
2002,2002x12x14,Mount Union,John Carroll,57,19,,99,,D3 Semi,D3
2002,2002x12x14,Trinity (TX),St. John's (MN),41,34,,99,,D3 Semi,D3
2002,2002x12x21,Mount Union,Trinity (TX),48,7,,3,Salem VA,D3 Champ,D3
2002,2002x11x30,McNeese,Montana St.,21,14,,1,,FCS R16,FCS
2002,2002x11x30,Montana,Northwestern St.,45,14,,1,,FCS R16,FCS
2002,2002x11x30,Villanova,Furman,45,38,,1,,FCS R16,FCS
2002,2002x11x30,Fordham,Northeastern,29,24,,2,,FCS R16,FCS
2002,2002x11x30,Ga. Southern,Bethune Cookman,34,0,,1,,FCS R16,FCS
2002,2002x11x30,Maine,Appalachian St.,14,13,,2,,FCS R16,FCS
2002,2002x11x30,Western Ky.,Murray St.,59,20,,1,,FCS R16,FCS
2002,2002x11x30,Western Ill.,Eastern Ill.,48,9,,1,,FCS R16,FCS
2002,2002x12x07,McNeese,Montana,24,20,,1,,FCS QF,FCS
2002,2002x12x07,Villanova,Fordham,24,10,,1,,FCS QF,FCS
2002,2002x12x07,Ga. Southern,Maine,31,7,,1,,FCS QF,FCS
2002,2002x12x07,Western Ky.,Western Ill.,31,28,,2,,FCS QF,FCS
2002,2002x12x14,McNeese,Villanova,39,28,,1,,FCS Semi,FCS
2002,2002x12x14,Western Ky.,Ga. Southern,31,28,,2,,FCS Semi,FCS
2002,2002x12x20,Western Ky.,McNeese,34,14,,3,Chattanooga,FCS Champ,FCS
2003,2003x11x22,North Dakota,Pittsburg St.,24,14,,1,,D2 R16,D2
2003,2003x11x22,Winona St.,Emporia St.,10,3,,1,,D2 R16,D2
2003,2003x11x22,North Alabama,Southern Ark.,48,24,,1,,D2 R16,D2
2003,2003x11x22,Carson-Newman,Valdosta St.,35,29,,2,,D2 R16,D2
2003,2003x11x22,Saginaw Valley St.,Edinboro,33,9,,1,,D2 R16,D2
2003,2003x11x22,Grand Valley St.,Bentley,65,36,,2,,D2 R16,D2
2003,2003x11x22,Central Okla.,Colorado Mesa,20,15,,2,,D2 R16,D2
2003,2003x11x22,TAMU Kingsville,Tarleton,34,10,,1,,D2 R16,D2
2003,2003x11x29,North Dakota,Winona St.,36,29,,1,,D2 QF,D2
2003,2003x11x29,North Alabama,Carson-Newman,41,9,,1,,D2 QF,D2
2003,2003x11x29,Grand Valley St.,Saginaw Valley St.,10,3,,2,,D2 QF,D2
2003,2003x11x29,TAMU Kingsville,Central Okla.,49,6,,1,,D2 QF,D2
2003,2003x12x06,North Dakota,North Alabama,29,22,,1,,D2 Semi,D2
2003,2003x12x06,Grand Valley St.,TAMU Kingsville,31,3,,2,,D2 Semi,D2
2003,2003x12x13,Grand Valley St.,North Dakota,10,3,,3,Florence AL,D2 Champ,D2
2003,2003x11x22,UW LaCrosse,Concordia (WI),52,13,,99,,D3 R28,D3
2003,2003x11x22,Baldwin-Wallace,Hanover,54,32,,99,,D3 R28,D3
2003,2003x11x22,Wheaton,Hope,55,45,,99,,D3 R28,D3
2003,2003x11x22,East Texas Baptist,Trinity (TX),42,41,OT,99,,D3 R28,D3
2003,2003x11x22,Bridgewater,Waynesburg,28,24,,99,,D3 R28,D3
2003,2003x11x22,Chris. Newport,Muhlenberg,24,20,,99,,D3 R28,D3
2003,2003x11x22,Rensselaer,Curry,34,20,,99,,D3 R28,D3
2003,2003x11x22,Ithaca,Brockport,14,9,,99,,D3 R28,D3
2003,2003x11x22,Montclair St.,Allegheny,20,19,,99,,D3 R28,D3
2003,2003x11x22,St. Norbert,Simpson,26,20,2OT,99,,D3 R28,D3
2003,2003x11x22,Wartburg,Bethel (MN),21,7,,99,,D3 R28,D3
2003,2003x11x22,Linfield,Redlands,31,23,,99,,D3 R28,D3
2003,2003x11x29,Mount Union,UW LaCrosse,39,14,,99,,D3 R16,D3
2003,2003x11x29,Wheaton,Baldwin-Wallace,16,12,,99,,D3 R16,D3
2003,2003x11x29,Lycoming,East Texas Baptist,13,7,OT,99,,D3 R16,D3
2003,2003x11x29,Rensselaer,Springfield,40,34,,99,,D3 R16,D3
2003,2003x11x29,Bridgewater,Chris. Newport,26,3,,99,,D3 R16,D3
2003,2003x11x29,Ithaca,Montclair St.,33,13,,99,,D3 R16,D3
2003,2003x11x29,St. John's (MN),St. Norbert,38,13,,99,,D3 R16,D3
2003,2003x11x29,Linfield,Wartburg,23,20,,99,,D3 R16,D3
2003,2003x12x06,Mount Union,Wheaton,56,10,,99,,D3 QF,D3
2003,2003x12x06,Bridgewater,Lycoming,13,9,,99,,D3 QF,D3
2003,2003x12x06,Rensselaer,Ithaca,21,16,,99,,D3 QF,D3
2003,2003x12x06,St. John's (MN),Linfield,31,25,,99,,D3 QF,D3
2003,2003x12x13,Mount Union,Bridgewater,66,0,,99,,D3 Semi,D3
2003,2003x12x13,St. John's (MN),Rensselaer,38,10,,99,,D3 Semi,D3
2003,2003x12x20,St. John's (MN),Mount Union,24,6,,3,Salem VA,D3 Champ,D3
2003,2003x11x29,Northern Ariz.,McNeese,35,3,,2,,FCS R16,FCS
2003,2003x11x29,Fla. Atlantic,Bethune Cookman,32,24,,2,,FCS R16,FCS
2003,2003x11x29,Colgate,Massachusetts,19,7,,1,,FCS R16,FCS
2003,2003x11x29,Western Ill.,Montana,43,40,2OT,2,,FCS R16,FCS
2003,2003x11x29,Wofford,NC A&T,31,10,,1,,FCS R16,FCS
2003,2003x11x29,Western Ky.,Jacksonville St.,45,7,,1,,FCS R16,FCS
2003,2003x11x29,Delaware,Southern Ill.,48,7,,1,,FCS R16,FCS
2003,2003x11x29,Northern Iowa,Montana St.,35,14,,1,,FCS R16,FCS
2003,2003x12x06,Fla. Atlantic,Northern Ariz.,48,25,,2,,FCS QF,FCS
2003,2003x12x06,Colgate,Western Ill.,28,27,,1,,FCS QF,FCS
2003,2003x12x06,Wofford,Western Ky.,34,17,,1,,FCS QF,FCS
2003,2003x12x06,Delaware,Northern Iowa,37,7,,1,,FCS QF,FCS
2003,2003x12x13,Colgate,Fla. Atlantic,36,24,,2,,FCS Semi,FCS
2003,2003x12x13,Delaware,Wofford,24,9,,1,,FCS Semi,FCS
2003,2003x12x19,Delaware,Colgate,40,0,,3,Chattanooga,FCS Champ,FCS
2004,2004x11x13,North Dakota,St. Cloud St.,20,17,2OT,2,,D2 R24,D2
2004,2004x11x13,Grand Valley St.,Winona St.,16,13,,2,,D2 R24,D2
2004,2004x11x13,Colo. Mines,Midwestern St.,52,33,,1,,D2 R24,D2
2004,2004x11x13,TAMU Kingsville,SE Oklahoma St.,40,30,,1,,D2 R24,D2
2004,2004x11x13,West Chester,CW Post,35,3,,1,,D2 R24,D2
2004,2004x11x13,Edinboro,Bentley,47,44,,2,,D2 R24,D2
2004,2004x11x13,Arkansas Tech,Catawba,24,20,,1,,D2 R24,D2
2004,2004x11x13,Carson-Newman,Fayetteville St.,35,14,,1,,D2 R24,D2
2004,2004x11x20,North Dakota,Michigan Tech,20,3,,2,,D2 R16,D2
2004,2004x11x20,Grand Valley St.,Northwood,10,7,,2,,D2 R16,D2
2004,2004x11x20,Pittsburg St.,Colo. Mines,70,35,,1,,D2 R16,D2
2004,2004x11x20,NW Missouri St.,TAMU Kingsville,34,14,,1,,D2 R16,D2
2004,2004x11x20,West Chester,Shippensburg,33,28,,2,,D2 R16,D2
2004,2004x11x20,East Stroudsburg,Edinboro,36,32,,1,,D2 R16,D2
2004,2004x11x20,Albany St.,Arkansas Tech,42,24,,1,,D2 R16,D2
2004,2004x11x20,Valdosta St.,Carson-Newman,38,12,,1,,D2 R16,D2
2004,2004x11x27,North Dakota,Grand Valley St.,19,15,,1,,D2 QF,D2
2004,2004x11x27,Pittsburg St.,NW Missouri St.,50,36,,1,,D2 QF,D2
2004,2004x11x27,West Chester,East Stroudsburg,48,38,,2,,D2 QF,D2
2004,2004x11x27,Valdosta St.,Albany St.,38,24,,2,,D2 QF,D2
2004,2004x12x04,Pittsburg St.,North Dakota,31,19,,1,,D2 Semi,D2
2004,2004x12x04,Valdosta St.,West Chester,45,21,,1,,D2 Semi,D2
2004,2004x12x11,Valdosta St.,Pittsburg St.,36,31,,3,Florence AL,D2 Champ,D2
2004,2004x11x20,UW LaCrosse,St. Norbert,37,23,,99,,D3 R28,D3
2004,2004x11x20,Occidental,Willamette,28,14,,99,,D3 R28,D3
2004,2004x11x20,Concordia Moorhead,Wartburg,28,14,,99,,D3 R28,D3
2004,2004x11x20,Hobart,Curry,35,16,,99,,D3 R28,D3
2004,2004x11x20,St. John Fisher,Muhlenberg,31,3,,99,,D3 R28,D3
2004,2004x11x20,Delaware Valley,Shenandoah,21,17,,99,,D3 R28,D3
2004,2004x11x20,Mary Hardin-Baylor,Trinity (TX),32,13,,99,,D3 R28,D3
2004,2004x11x20,Chris. Newport,Salisbury St.,35,24,,99,,D3 R28,D3
2004,2004x11x20,Wash. & Jeff.,Bridgewater,55,48,2OT,99,,D3 R28,D3
2004,2004x11x20,Wheaton,Mount St. Joseph,31,7,,99,,D3 R28,D3
2004,2004x11x20,Carthage,Alma,31,28,,99,,D3 R28,D3
2004,2004x11x20,Wooster,Aurora,41,34,,99,,D3 R28,D3
2004,2004x11x27,Linfield,UW LaCrosse,52,14,,99,,D3 R16,D3
2004,2004x11x27,Occidental,Concordia Moorhead,42,40,,99,,D3 R16,D3
2004,2004x11x27,Rowan,Hobart,45,14,,99,,D3 R16,D3
2004,2004x11x27,Delaware Valley,St. John Fisher,26,20,,99,,D3 R16,D3
2004,2004x11x27,Mary Hardin-Baylor,Hardin Simmons,42,28,,99,,D3 R16,D3
2004,2004x11x27,Wash. & Jeff.,Chris. Newport,24,14,,99,,D3 R16,D3
2004,2004x11x27,Mount Union,Wheaton,27,6,,99,,D3 R16,D3
2004,2004x11x27,Carthage,Wooster,14,7,,99,,D3 R16,D3
2004,2004x12x04,Linfield,Occidental,56,27,,99,,D3 QF,D3
2004,2004x12x04,Rowan,Delaware Valley,56,7,,99,,D3 QF,D3
2004,2004x12x04,Mary Hardin-Baylor,Wash. & Jeff.,52,16,,99,,D3 QF,D3
2004,2004x12x04,Mount Union,Carthage,38,20,,99,,D3 QF,D3
2004,2004x12x11,Linfield,Rowan,52,0,,99,,D3 Semi,D3
2004,2004x12x11,Mary Hardin-Baylor,Mount Union,38,35,,99,,D3 Semi,D3
2004,2004x12x18,Linfield,Mary Hardin-Baylor,28,21,,3,Salem VA,D3 Champ,D3
2004,2004x11x27,Eastern Wash.,Southern Ill.,35,31,,2,,FCS R16,FCS
