sport,year,round,event,name1,name2,team1,score1,team2,score2,ot,location
MLS,1989,,USOCUP,,,St. Petersburg Kickers,2,New York Greek American,1,AET,
NBA,1989,,NBAASG,,,West,143,East,134,,Houston
NFL,1989,,Pro Bowl,,,NFC,27,AFC,21,,Honolulu
NHL,1989,,NHLASG,,,Campbell,9,Wales,5,,Edmonton
MLB,1990,,ASG,,,American,2,National,0,,Chicago NL
MLS,1990,,USOCUP,,,Chicago Eagles,2,Brooklyn Italians,1,,
NBA,1990,,NBAASG,,,East,130,West,113,,Miami
NFL,1990,,Pro Bowl,,,AFC,23,NFC,21,,Honolulu
NHL,1990,,NHLASG,,,Wales,12,Campbell,7,,Pittsburgh
MLB,1991,,ASG,,,American,4,National,2,,Toronto
MLS,1991,,USOCUP,,,Brooklyn Italians,1,Richardson Rockets,0,,
NBA,1991,,NBAASG,,,East,116,West,114,,Charlotte
NFL,1991,,Pro Bowl,,,NFC,21,AFC,15,,Honolulu
NHL,1991,,NHLASG,,,Campbell,11,Wales,5,,Chicago
MLB,1992,,ASG,,,American,13,National,6,,San Diego
MLS,1992,,USOCUP,,,San Jose Oaks,2,Bridgeport Vasco da Gama,1,,
NBA,1992,,NBAASG,,,West,153,East,113,,Orlando
NFL,1992,,Pro Bowl,,,AFC,23,NFC,20,OT,Honolulu
NHL,1992,,NHLASG,,,Campbell,10,Wales,6,,Philadelphia
MLB,1993,,ASG,,,American,9,National,3,,Baltimore
MLS,1993,,USOCUP,,,San Francisco Mexico,5,Philadelphia United German Hungarians,0,,
NBA,1993,,NBAASG,,,West,135,East,132,OT,Salt Lake City
NFL,1993,,Pro Bowl,,,NFC,17,AFC,3,,Honolulu
NHL,1993,,NHLASG,,,Wales,16,Campbell,6,,Montreal
MLB,1994,,ASG,,,National,8,American,7,10 innings,Pittsburgh
MLS,1994,,USOCUP,,,San Francisco Greek American,3,Milwaukee Bavarians,0,,
NBA,1994,,NBAASG,,,East,127,West,118,,Minneapolis
NFL,1994,,Pro Bowl,,,AFC,41,NFC,13,,Honolulu
NHL,1994,,NHLASG,,,East,9,West,8,,New York
MLB,1995,,ASG,,,National,3,American,2,,Arlington
MLS,1995,,USOCUP,,,Richmond Kickers,1,El Paso Patriots,1,4:2P,
NBA,1995,,NBAASG,,,West,139,East,112,,Phoenix
NFL,1995,,Pro Bowl,,,NFC,20,AFC,13,,Honolulu
MLB,1996,,ASG,,,National,6,American,0,,Philadelphia NL
MLS,1996,,MLSASG,,,East,3,West,2,,East Rutherford
MLS,1996,,USOCUP,,,DC United,3,Rochester Rhinos,0,,
NBA,1996,,NBAASG,,,East,129,West,118,,San Antonio
NFL,1996,,Pro Bowl,,,AFC,26,NFC,23,OT,Honolulu
NHL,1996,,NHLASG,,,East,5,West,4,,Boston
MLB,1997,,ASG,,,American,3,National,1,,Cleveland
MLS,1997,,MLSASG,,,East,5,West,4,,East Rutherford
MLS,1997,,USOCUP,,,Dallas Burn,0,DC United,0,5:3P,
NBA,1997,,NBAASG,,,East,132,West,120,,Cleveland
NFL,1997,,Pro Bowl,,,AFC,29,NFC,24,,Honolulu
NHL,1997,,NHLASG,,,East,11,West,7,,San Jose
MLB,1998,,ASG,,,American,13,National,8,,Denver
MLS,1998,,MLSASG,,,MLS USA,6,MLS World,1,,Orlando
MLS,1998,,USOCUP,,,Chicago Fire,2,Columbus Crew,1,AET,
NBA,1998,,NBAASG,,,East,135,West,114,,New York
NFL,1998,,Pro Bowl,,,AFC,23,NFC,10,,Honolulu
NHL,1998,,NHLASG,,,North America,8,World,7,,Vancouver
MLB,1999,,ASG,,,American,4,National,1,,Boston AL
MLS,1999,,MLSASG,,,West,6,East,4,,San Diego
MLS,1999,,USOCUP,,,Rochester Rhinos,2,Colorado Rapids,0,,
NFL,1999,,Pro Bowl,,,NFC,51,AFC,31,,Honolulu
NHL,1999,,NHLASG,,,North America,8,World,6,,Tampa
MLB,2000,,ASG,,,American,6,National,3,,Atlanta
MLS,2000,,MLSASG,,,East,9,West,4,,Columbus
MLS,2000,,USOCUP,,,Chicago Fire,2,Miami Fusion,1,,
NBA,2000,,NBAASG,,,West,137,East,126,,Oakland
NFL,2000,,Pro Bowl,,,AFC,38,NFC,17,,Honolulu
NHL,2000,,NHLASG,,,World,9,North America,4,,Toronto
MLB,2001,,ASG,,,American,4,National,1,,Seattle
MLS,2001,,MLSASG,,,East,6,West,6,TIE,San Jose
MLS,2001,,USOCUP,,,Los Angeles Galaxy,2,New England Revolution,1,AET,
NBA,2001,,NBAASG,,,East,111,West,110,,Washington
NFL,2001,,Pro Bowl,,,AFC,38,NFC,30,,Honolulu
NHL,2001,,NHLASG,,,North America,14,World,12,,Denver
MLB,2002,,ASG,,,American,7,National,7,TIE 11 innings,Milwaukee NL
MLS,2002,,MLSASG,,,MLS All-Stars,3,United States NT,2,,Washington
MLS,2002,,USOCUP,,,Columbus Crew,1,Los Angeles Galaxy,0,,
NBA,2002,,NBAASG,,,West,135,East,120,,Philadelphia
NFL,2002,,Pro Bowl,,,AFC,45,NFC,20,,Honolulu
NHL,2002,,NHLASG,,,World,8,North America,5,,Los Angeles
MLB,2003,,ASG,,,American,7,National,6,,Chicago AL
MLS,2003,,MLSASG,,,MLS All-Stars,3,Guadalajara,1,,Los Angeles
MLS,2003,,USOCUP,,,Chicago Fire,1,NY/NJ MetroStars,0,,
NBA,2003,,NBAASG,,,West,155,East,145,2OT,Atlanta
NFL,2003,,Pro Bowl,,,NFC,55,AFC,52,,Honolulu
NHL,2003,,NHLASG,,,West,6,East,5,SO,Miami
MLB,2004,,ASG,,,American,9,National,4,,Houston
MLS,2004,,MLSASG,,,East,3,West,2,,Washington
MLS,2004,,USOCUP,,,Kansas City Wizards,1,Chicago Fire,0,AET,
NBA,2004,,NBAASG,,,West,136,East,132,,Los Angeles
NFL,2004,,Pro Bowl,,,AFC,38,NFC,27,,Honolulu
NHL,2004,,NHLASG,,,East,6,West,4,,St. Paul
MLB,2005,,ASG,,,American,7,National,5,,Detroit
MLS,2005,,MLSASG,,,MLS All-Stars,4,Fulham,1,,Columbus
MLS,2005,,USOCUP,,,Los Angeles Galaxy,1,FC Dallas,0,,
NBA,2005,,NBAASG,,,East,125,West,115,,Denver
NFL,2005,,Pro Bowl,,,NFC,23,AFC,17,,Honolulu
MLB,2006,,ASG,,,American,3,National,2,,Pittsburgh
MLS,2006,,MLSASG,,,MLS All-Stars,1,Chelsea,0,,Chicago
MLS,2006,,USOCUP,,,Chicago Fire,3,Los Angeles Galaxy,1,,
NBA,2006,,NBAASG,,,East,122,West,120,,Houston
NFL,2006,,Pro Bowl,,,AFC,31,NFC,28,,Honolulu
MLB,2007,,ASG,,,American,5,National,4,,San Francisco
MLS,2007,,MLSASG,,,MLS All-Stars,2,Celtic,0,,Denver
MLS,2007,,USOCUP,,,New England Revolution,3,FC Dallas,2,,
NBA,2007,,NBAASG,,,West,153,East,132,,Las Vegas
NFL,2007,,Pro Bowl,,,NFC,42,AFC,30,,Honolulu
NHL,2007,,NHLASG,,,West,12,East,9,,Dallas
MLB,2008,,ASG,,,American,4,National,3,15 innings,New York AL
MLS,2008,,MLSASG,,,MLS All-Stars,3,West Ham United,2,,Toronto
MLS,2008,,USOCUP,,,DC United,2,Charleston Battery,1,,
NBA,2008,,NBAASG,,,East,134,West,128,,New Orleans
NFL,2008,,Pro Bowl,,,NFC,30,AFC,21,,Honolulu
NHL,2008,,NHLASG,,,East,8,West,7,,Atlanta
MLB,2009,,ASG,,,American,4,National,3,,St. Louis NL
MLS,2009,,MLSASG,,,Everton,1,MLS All-Stars,1,4:3P,Salt Lake City
MLS,2009,,USOCUP,,,Seattle Sounders,2,DC United,1,,
NBA,2009,,NBAASG,,,West,146,East,119,,Phoenix
NFL,2009,,Pro Bowl,,,AFC,41,NFC,34,,Miami
NHL,2009,,NHLASG,,,East,12,West,11,SO,Montreal
MLB,2010,,ASG,,,National,3,American,1,,Anaheim
